formula,symmetry_type,symmetry_value,in_c2db,in_2dmatpedia_final
Ag4Se2,number,90,True,False
Ag4Se4,number,2,False,True
Ag4Se4,number,51,True,False
Ag4Te2,number,191,False,True
Ag4Te2,number,4,False,True
Ag4Te2,number,51,False,True
Ag4Te2,number,90,True,False
Ag4Te4,number,11,True,False
Ag4Te4,number,13,True,False
Ag4Te4,number,2,False,True
Ag4V2O12P2,number,12,False,True
Ag4W2S8,number,11,False,True
Ag4Zn4O10,number,26,False,True
Ag5Br5,number,157,True,False
Ag5I5,number,157,True,False
Ag6Br12,number,1,True,False
Ag6Br6,number,156,True,False
Ag6Br6,number,18,True,False
Ag6Br6,number,183,True,False
Ag6Br6,number,38,True,False
Ag6Cl6,number,1,True,False
Ag6Cl6,number,49,True,False
Ag6Cl6,number,59,True,False
Ag6Cl6,number,7,True,False
Ag6F6,number,21,True,False
Ag6F6,number,28,True,False
Ag6F6,number,3,True,False
Ag6F6,number,8,True,False
Ag6I12,number,1,True,False
Ag6I2S2,number,1,False,True
Ag6I6,number,156,True,False
Ag6I6,number,183,True,False
Ag6I6,number,27,True,False
Ag6I6,number,51,True,False
Ag6I8,number,1,True,False
Ag6S6,number,3,True,False
Ag6S6Sb2,number,7,False,True
Ag8Bi8Cl8S12,number,2,False,True
Ag8Br8,number,39,True,False
Ag8Br8,number,7,True,False
Ag8C4N8,number,14,False,True
Ag8C4N8,number,57,True,False
Ag8Cl8,number,39,True,False
Ag8F8,number,18,True,False
Ag8F8,number,67,True,False
Ag8O12S4,number,14,False,True
Ag8S4,number,51,True,False
Ag8S4,number,57,True,False
Ag8Se12,number,39,True,False
Ag8Te4,number,129,True,False
AgAlAs2O6,number,149,True,False
AgAlAs2S6,number,149,True,False
AgAlAs2Se6,number,149,True,False
AgAlAs2Te6,number,149,True,False
AgAlO2,number,156,False,True
AgAlO6P2,number,149,True,False
AgAlO6Sb2,number,149,True,False
AgAlP2S6,number,149,True,False
AgAlP2Se6,number,149,True,False
AgAlP2Te6,number,149,True,False
AgAlS6Sb2,number,149,True,False
AgAlSb2Se6,number,149,True,False
AgAlSb2Te6,number,149,True,False
AgAs2S6Sb,number,143,True,False
AgAs2SbSe6,number,143,True,False
AgAs2SbTe6,number,143,True,False
AgAsCl2Se2,number,1,True,False
AgAsI2O2,number,1,True,False
AgAu2Br2Se2,number,2,True,False
